conmedic,partyid,region,id,age,sex,race,degree
 2, 0, 3, 659,84, 1, 1, 1
.i, 3, 3, 660,41, 2, 1, 3
.i, 7, 3, 661,28, 1, 1, 3
 2, 0, 3, 662,69, 2, 1, 1
 2, 4, 3, 663,44, 2, 1, 1
 2, 5, 3, 664,61, 2, 1, 1
 1, 1, 4, 665,40, 2, 1, 4
 1, 5, 4, 666,75, 1, 1, 4
 1, 2, 4, 667,69, 2, 1, 1
 1, 1, 4, 668,63, 1, 1, 3
.i, 0, 4, 669,75, 1, 1, 1
 3, 0, 4, 670,61, 1, 1, 1
 2, 0, 4, 671,89, 1, 1, 1
.i, 1, 4, 672,53, 2, 1, 0
 2, 6, 4, 673,.n,.n, 1, 0
 2, 2, 4, 674,80, 2, 2, 2
.i, 5, 4, 675,66, 2, 1, 2
 2, 5, 4, 676,35, 1, 1, 1
 1, 4, 4, 677,81, 1, 1, 3
 2, 2, 4, 678,21, 1, 1, 1
 1, 6, 4, 679,89, 2, 1, 1
.i, 4, 4, 680,69, 1, 1, 1
 2, 2, 4, 681,70, 2, 1, 1
.i, 3, 4, 682,70, 1, 1, 1
 2, 3, 4, 683,38, 1, 1, 1
.i, 3, 4, 684,51, 1, 1, 4
.i, 1, 4, 685,79, 2, 1, 1
.i, 0, 4, 686,80, 2, 1, 1
 1, 3, 7, 687,39, 2, 1, 1
 2, 4, 7, 688,30, 2, 1, 1
 1, 3, 7, 690,33, 2, 1, 1
.i, 3, 7, 691,29, 1, 3, 2
 1, 2, 7, 692,22, 2, 1, 1
 1, 5, 7, 693,59, 2, 3, 3
.i, 3, 7, 694,61, 2, 1, 1
 2, 3, 7, 695,46, 2, 1, 1
 2, 6, 7, 696,39, 2, 1, 2
 2, 0, 7, 697,72, 1, 1, 1
 2, 6, 7, 699,55, 2, 1, 1
.i, 6, 7, 700,51, 1, 3, 1
.i, 1, 7, 701,23, 2, 1, 2
 1, 4, 7, 702,55, 2, 1, 4
.i,.n, 8, 703,.n,.n, 1, 0
 3, 3, 8, 704,53, 1, 1, 4
.i, 0, 8, 705,59, 1, 1, 4
 2, 2, 8, 706,61, 1, 1, 4
 2, 1, 8, 707,33, 1, 1, 3
 2, 0, 8, 708,27, 1, 3, 4
.i, 6, 8, 709,25, 2, 1, 3
.i, 6, 8, 710,65, 1, 1, 1
 2, 1, 8, 711,55, 2, 2, 2
 2, 3, 8, 712,25, 1, 1, 0
.i, 7, 8, 713,61, 1, 1, 4
 1, 2, 8, 714,77, 1, 3, 3
 1, 7, 8, 715,67, 1, 1, 1
 2, 3, 8, 717,.i, 1, 3, 4
 1, 5, 8, 718,27, 2, 1, 4
 1, 2, 8, 719,50, 2, 1, 4
.i, 0, 8, 720,72, 1, 1, 3
.i, 6, 8, 721,71, 1, 1, 3
.i, 0, 8, 723,56, 2, 1, 4
.i, 1, 8, 724,35, 2, 1, 3
 1, 0, 8, 725,72, 2, 1, 1
 2, 1, 8, 726,35, 1, 1, 1
 2, 3, 8, 727,46, 1, 3, 3
 2, 7, 8, 728,28, 1, 1, 3
 2, 0, 8, 729,32, 1, 3, 0
 2, 7, 8, 730,32, 1, 1, 4
 1, 3, 8, 731,43, 2, 1, 1
 2, 2, 9, 732,34, 2, 1, 4
.i, 6, 9, 733,47, 2, 1, 3
 1, 5, 9, 734,59, 2, 1, 3
.i, 3, 9, 735,.i, 1, 1, 3
 2, 3, 9, 737,.i, 1, 3, 1
.i, 1, 9, 738,46, 1, 1, 1
 2, 0, 9, 739,69, 2, 1, 4
.i, 3, 9, 740,62, 2, 1, 4
.i, 2, 9, 741,55, 2, 1, 1
 1, 3, 9, 742,.n,.n, 1, 0
 2, 3, 9, 744,78, 2, 1, 1
 1, 2, 9, 745,72, 2, 1, 1
 1, 0, 9, 746,71, 2, 1, 1
 2, 3, 9, 747,85, 2, 1, 1
.i, 0, 9, 748,76, 1, 1, 2
.i, 1, 9, 749,35, 1, 2, 4
 2, 4, 9, 750,54, 2, 1, 1
.i, 2, 9, 751,28, 1, 3, 3
 3, 7, 9, 752,77, 2, 1, 1
.i, 7, 9, 753,69, 1, 1, 2
 1, 0, 9, 754,77, 1, 1, 4
 2, 1, 9, 755,60, 2, 1, 4
.i, 3, 9, 756,.i, 2, 1, 1
 2, 6, 9, 757,.n,.n, 1, 0
 3, 6, 9, 758,75, 2, 1, 1
.i, 6, 9, 759,43, 1, 1, 2
 1, 4, 9, 760,75, 1, 1, 1
.i, 0, 9, 761,76, 2, 1, 4
 1, 0, 9, 763,31, 2, 1, 1
 2, 2, 9, 764,47, 1, 1, 1
 2, 0, 9, 765,48, 1, 1, 4
.i, 1, 9, 766,.i, 2, 1, 1
 1, 6, 9, 767,38, 2, 1, 4
.i, 1, 9, 768,23, 2, 1, 1
.i, 0, 9, 769,31, 2, 1, 4
 2, 3, 9, 770,47, 1, 3, 1
.i, 6, 9, 772,89, 1, 1, 3
 2, 5, 9, 773,60, 1, 1, 1
.i, 3, 9, 774,89, 1, 1, 0
 2, 3, 9, 775,53, 1, 1, 1
 2, 2, 9, 776,62, 1, 1, 1
 3, 6, 9, 777,60, 2, 1, 1
.i, 3, 9, 778,54, 2, 1, 1
.i, 4, 9, 779,73, 2, 1, 3
 1, 4, 9, 780,25, 2, 1, 1
 2, 3, 9, 781,42, 2, 1, 1
 2, 1, 8, 782,49, 2, 1, 1
 2, 3, 8, 783,37, 2, 1, 2
.i, 1, 8, 784,30, 2, 1, 1
.i, 0, 8, 785,67, 2, 1, 3
 2, 3, 8, 786,37, 2, 1, 4
 3, 7, 8, 787,26, 1, 1, 2
 2, 0, 8, 788,55, 1, 1, 4
 1, 2, 8, 790,70, 2, 1, 1
 3, 6, 7, 791,.i, 2, 1, 2
 3, 3, 7, 792,32, 1, 1, 4
 2, 1, 7, 793,33, 1, 1, 1
 3, 4, 7, 795,38, 2, 1, 1
 2, 4, 7, 796,42, 2, 1, 3
.i, 6, 7, 797,68, 2, 1, 4
 2, 5, 7, 798,70, 1, 1, 4
 2, 0, 7, 799,67, 2, 2, 3
.i, 0, 7, 800,89, 1, 1, 1
.i, 6, 7, 801,49, 1, 1, 3
 2, 6, 7, 802,57, 1, 1, 2
 2, 3, 7, 803,25, 2, 2, 1
.i, 2, 7, 804,68, 2, 1, 3
.i, 5, 7, 805,65, 2, 1, 3
.i, 6, 7, 806,.i, 2, 1, 0
 2, 6, 7, 807,58, 2, 1, 4
 2, 6, 7, 808,66, 2, 1, 1
 2, 6, 7, 809,.n,.n, 1, 1
 1, 5, 7, 810,67, 1, 1, 3
 1, 3, 7, 811,55, 2, 1, 2
 1, 3, 7, 812,57, 2, 1, 2
 2, 4, 7, 813,.n,.n, 1, 3
.i, 2, 7, 814,64, 1, 1, 1
.i, 7, 4, 815,55, 1, 1, 3
 2, 3, 4, 816,39, 2, 1, 1
 2, 3, 4, 817,27, 2, 1, 3
 1, 4, 4, 818,27, 1, 1, 3
 2, 3, 4, 819,81, 2, 1, 1
 2, 3, 4, 820,57, 2, 1, 1
.i, 2, 4, 821,42, 2, 1, 4
 1, 6, 4, 823,56, 2, 1, 1
.i, 3, 4, 824,55, 2, 1, 1
 2, 3, 4, 825,30, 2, 1, 2
 2, 1, 4, 826,22, 2, 2, 1
 3, 6, 4, 827,51, 2, 1, 1
.i, 0, 3, 828,65, 2, 1, 3
.i, 3, 3, 829,57, 2, 1, 1
 1, 4, 3, 830,79, 1, 1, 1
 2, 5, 3, 831,52, 2, 1, 3
 2, 7, 3, 832,73, 1, 1, 1
.i, 6, 3, 833,78, 2, 1, 1
 3, 3, 3, 834,38, 1, 1, 1
.i, 4, 3, 835,45, 2, 1, 1
 2, 3, 6, 836,.i, 2, 2, 1
 2, 3, 6, 837,28, 2, 2, 1
 2, 0, 6, 838,68, 2, 2, 1
.i, 5, 6, 839,35, 1, 1, 3
 3, 5, 6, 841,29, 2, 1, 1
.i, 0, 6, 842,64, 1, 2, 1
.i, 0, 6, 843,62, 2, 2, 3
 2, 4, 6, 844,34, 1, 1, 0
 2, 5, 6, 845,43, 2, 1, 3
 3, 6, 6, 846,30, 2, 1, 2
 1, 0, 6, 847,57, 2, 1, 1
.i, 3, 6, 849,45, 1, 2, 1
 1, 3, 6, 850,37, 2, 1, 1
.i, 0, 6, 851,.n,.n, 2, 0
.i, 3, 6, 852,62, 2, 1, 3
.i, 0, 5, 853,41, 2, 2, 1
.i, 0, 5, 855,89, 1, 2, 0
 1, 2, 5, 856,46, 1, 1, 1
 3, 6, 5, 857,53, 2, 1, 4
 2, 0, 5, 858,45, 2, 2, 1
 2, 5, 5, 859,73, 2, 1, 1
.i, 4, 5, 860,.i, 1, 1, 1
 1, 6, 5, 861,85, 1, 1, 1
.i, 3, 5, 862,60, 2, 1, 1
.i, 3, 5, 863,36, 2, 1, 1
 3, 2, 5, 864,33, 2, 1, 2
 1, 5, 5, 865,69, 1, 1, 1
 1, 3, 5, 866,70, 1, 1, 1
 2, 3, 5, 867,52, 1, 1, 2
.i, 2, 1, 868,37, 1, 3, 1
 1, 2, 1, 869,50, 2, 2, 0
 1, 3, 1, 870,.i, 2, 1, 3
.i, 6, 1, 871,49, 2, 1, 2
 1, 4, 1, 872,66, 1, 1, 1
.i, 0, 1, 873,63, 1, 1, 4
.i, 6, 1, 874,67, 2, 1, 1
 2, 7, 1, 876,.i, 2, 1, 4
 2, 5, 1, 878,41, 1, 1, 3
 2, 3, 1, 880,44, 1, 1, 2
 1, 0, 1, 881,64, 1, 1, 4
.i, 0, 1, 882,80, 2, 1, 4
 1, 3, 1, 883,51, 1, 1, 4
.i, 0, 1, 884,71, 1, 1, 4
 1, 1, 1, 885,40, 2, 1, 4
 1, 2, 1, 886,48, 1, 1, 1
 2, 5, 1, 887,27, 1, 1, 3
 2, 3, 1, 888,39, 1, 3, 0
 3, 0, 1, 889,44, 1, 1, 1
 1, 0, 1, 890,25, 2, 1, 4
 2, 3, 1, 891,37, 2, 1, 1
.i, 6, 1, 892,55, 2, 1, 3
 2, 0, 1, 893,.i, 1, 1, 4
 2, 3, 1, 894,81, 1, 1, 4
 2, 4, 1, 895,46, 2, 1, 1
.i, 2, 1, 896,71, 1, 1, 4
 1, 0, 1, 897,66, 2, 1, 4
 1, 0, 1, 898,71, 1, 1, 4
 1, 2, 1, 899,.i, 1, 3, 4
 2, 2, 1, 901,56, 1, 1, 3
.i, 2, 1, 902,23, 2, 1, 1
 1, 2, 1, 903,49, 1, 1, 3
.i, 0, 1, 904,74, 1, 1, 4
 2, 0, 1, 905,63, 1, 3, 1
.i, 1, 1, 906,30, 1, 3, 4
 2, 4, 1, 908,27, 2, 1, 4
 2, 1, 1, 909,47, 2, 1,.d
 1, 3, 1, 910,69, 2, 1, 4
 3, 3, 1, 911,31, 2, 3, 4
.i,.n, 1, 912,.n,.n, 1, 0
 2, 3, 1, 914,60, 1, 1, 4
 1, 3, 1, 915,.i, 1, 1, 4
.i, 0, 1, 916,55, 1, 1, 4
 2, 1, 1, 917,47, 2, 1, 4
 2, 1, 1, 918,38, 2, 1, 1
 1, 3, 1, 919,.i, 2, 1, 4
.i, 0, 1, 920,71, 2, 1, 1
.i, 3, 1, 921,35, 2, 1, 4
 2, 3, 1, 922,75, 2, 1, 0
 1, 0, 1, 923,.i, 2, 1, 1
 2, 3, 1, 924,60, 2, 1, 0
 1, 3, 1, 925,.i, 2, 1, 3
 3, 2, 1, 926,80, 2, 1, 1
 1, 4, 1, 927,39, 1, 1, 4
 1, 7, 1, 928,.i, 2, 1, 4
 1, 0, 1, 929,61, 1, 3, 3
.i, 0, 1, 931,57, 1, 1, 3
.i, 6, 1, 932,73, 2, 1, 1
 1, 5, 1, 933,53, 1, 1, 1
.i, 2, 1, 934,20, 2, 1, 1
 1, 3, 1, 935,58, 1, 1, 2
 2, 6, 1, 936,61, 1, 1, 0
 2, 7, 1, 937,35, 2, 1, 2
 1, 1, 1, 938,58, 2, 1, 1
 2, 2, 1, 939,55, 2, 3, 3
 2, 4, 1, 940,59, 2, 1, 3
 2, 2, 1, 941,36, 2, 1, 3
 1, 5, 1, 942,31, 1, 1, 3
 1, 0, 1, 943,62, 2, 1, 3
 3, 3, 1, 944,62, 1, 1, 4
 2, 6, 1, 945,40, 2, 1, 1
 2, 1, 1, 946,45, 2, 1, 4
.i, 3, 1, 947,75, 2, 1, 3
 1, 2, 1, 948,74, 1, 1, 4
 3, 5, 1, 949,51, 2, 1, 1
 3, 4, 1, 950,89, 1, 1, 3
 2, 0, 1, 952,71, 2, 1, 4
.i, 4, 1, 953,71, 1, 1, 4
.i, 5, 1, 954,58, 1, 1, 4
 2, 0, 1, 955,51, 2, 1, 4
 1, 2, 1, 956,51, 2, 1, 4
 2, 3, 1, 957,61, 2, 1, 3
 2, 5, 1, 958,.i, 2, 1, 1
 3, 6, 1, 959,42, 1, 2, 1
.i, 6, 1, 960,64, 1, 1, 1
 1, 3, 1, 961,55, 2, 1, 1
.i, 0, 2, 964,73, 2, 2, 4
 3, 0, 2, 965,82, 2, 1, 1
 2, 1, 2, 966,55, 1, 3, 1
 2, 1, 2, 968,40, 2, 2, 4
.i, 2, 2, 969,33, 2, 1, 3
 2, 6, 2, 972,82, 1, 1, 4
 2, 0, 2, 973,58, 1, 1, 1
.i, 1, 2, 974,83, 2, 1, 3
 1, 1, 2, 975,41, 1, 1, 4
.i, 0, 2, 977,38, 2, 2, 1
 2,.n, 2, 978,.n,.n, 2,.s
 2, 5, 2, 979,63, 1, 1, 2
 1, 0, 2, 980,.i, 2, 2, 2
 1, 0, 2, 981,73, 2, 1, 4
 1, 2, 2, 982,74, 2, 1, 4
.i, 6, 2, 983,62, 2, 1, 3
 2, 5, 2, 985,51, 2, 1, 3
.i, 4, 2, 986,58, 2, 1, 4
 1, 1, 2, 987,29, 2, 1, 2
 3, 2, 2, 988,36, 2, 3, 3
 2, 3, 2, 989,64, 1, 3, 3
 2, 6, 2, 990,77, 1, 1, 1
.i, 6, 2, 991,54, 1, 1, 4
 1, 1, 2, 992,37, 2, 1, 1
 1, 4, 2, 993,76, 2, 1, 3
.i, 3, 2, 995,68, 1, 1, 2
 2, 3, 2, 996,52, 1, 1, 1
 1, 3, 2, 997,59, 1, 3, 4
 1, 2, 2, 998,42, 1, 3, 3
 2, 1, 2, 999,47, 2, 3, 3
.i, 3, 2,1000,53, 1, 3, 3
 1, 0, 2,1001,58, 1, 1, 3
 1, 1, 2,1002,63, 2, 2, 1
 1, 4, 2,1003,61, 2, 3, 3
 2, 5, 2,1004,64, 2, 1, 1
 1, 1, 2,1005,38, 2, 1, 4
.i, 0, 2,1007,68, 2,.i, 0
.i, 0, 2,1008,28, 2, 2, 1
 2, 3, 2,1009,61, 2, 2, 0
 1, 2, 2,1010,36, 2, 2, 1
 2, 3, 2,1011,53, 1, 1, 1
 1, 0, 2,1012,31, 2, 2, 1
 1, 3, 2,1013,38, 2, 3, 4
 1, 5, 2,1014,56, 1, 1, 3
 1, 2, 2,1015,31, 1, 3, 4
.i, 0, 2,1018,33, 1, 1, 3
.i, 0, 2,1019,33, 1, 3, 3
 3, 1, 2,1021,23, 2, 1, 4
.i, 0, 2,1022,.n, 1, 1, 4
.i, 1, 2,1023,29, 1, 1, 3
 2, 3, 2,1024,.i, 1, 3, 3
.i, 0, 2,1025,.i, 1, 1, 4
 2, 3, 2,1026,48, 1, 3, 3
 3, 7, 2,1027,46, 2, 2, 4
 2, 2, 2,1028,45, 1, 3, 0
.i, 3, 2,1029,21, 1, 3, 1
.i, 3, 2,1030,19, 1, 3, 1
 2, 2, 2,1031,.n, 1, 1, 1
 2, 1, 2,1033,50, 2, 1, 1
 2, 2, 2,1034,25, 2, 3, 0
 2,.n, 2,1035,.n,.n, 1, 0
 2, 0, 2,1036,54, 2, 2, 1
 2, 3, 2,1037,21, 1, 3, 2
 2, 0, 2,1039,27, 2, 1, 2
 2, 3, 2,1040,.i, 1, 1, 1
 2, 6, 2,1042,38, 1, 1, 1
.i, 0, 2,1043,68, 2, 1, 1
 1, 7, 2,1044,49, 1, 1, 4
 2, 5, 2,1045,80, 1, 1, 4
.s, 2, 2,1046,72, 2, 1, 2
 1, 2, 2,1048,63, 2, 1, 2
.i, 2, 2,1049,34, 1, 1, 4
.i, 5, 2,1050,51, 1, 1, 1
 1, 0, 2,1051,52, 1, 1, 3
 2, 7, 2,1052,84, 2, 1, 1
 1, 0, 2,1053,81, 1, 1, 4
.i, 1, 2,1055,31, 2, 1, 3
.i, 3, 2,1056,41, 2, 1, 1
.i, 2, 2,1057,60, 2, 1, 2
.i, 4, 2,1058,.i, 1, 1, 3
 2, 3, 2,1059,46, 2, 1, 1
 2, 4, 2,1060,41, 1, 1, 1
.i, 0, 2,1061,40, 1, 1, 3
.i, 2, 2,1062,65, 1, 1, 4
 2, 0, 2,1063,28, 1, 1, 2
 1, 0, 2,1064,46, 1, 1, 3
.i, 2, 2,1065,67, 1, 1, 4
 2, 2, 2,1066,38, 2, 3, 1
 2, 6, 2,1067,47, 2, 1, 2
.i, 2, 2,1068,28, 1, 1, 3
 3, 3, 2,1069,81, 2, 1, 1
.i, 6, 2,1070,72, 1, 1, 3
 2, 6, 2,1071,63, 1, 1, 3
.i, 3, 2,1072,.i, 2, 1, 1
 2, 3, 2,1073,36, 1, 2, 2
 3, 2, 2,1074,83, 2, 1, 4
 2, 3, 2,1075,33, 2,.i, 2
 2, 0, 2,1076,34, 2, 2, 1
 2, 5, 2,1077,.i, 1, 3,.s
 3, 6, 2,1078,81, 1, 1, 1
 2, 6, 2,1079,70, 1, 1, 3
 1, 2, 2,1080,57, 2, 1, 1
.i, 3, 2,1081,42, 1, 1, 1
.i, 0, 2,1082,39, 2, 1, 4
 2, 3, 2,1083,23, 2, 1, 0
 1, 3, 2,1084,63, 2, 1, 4
.i, 4, 2,1085,41, 1, 1, 1
.i, 3, 2,1086,.i, 2, 1, 1
.i, 5, 2,1087,63, 2, 1, 1
.i, 6, 2,1088,83, 1, 1, 1
 2, 3, 2,1089,73, 2, 1, 1
.i, 7, 2,1090,.i, 1,.i, 2
.i, 6, 2,1091,73, 2, 1, 1
 2, 6, 2,1092,72, 2, 1, 1
.i, 1, 2,1093,50, 2, 1, 1
 2, 6, 2,1094,.i, 2, 1, 3
 2, 5, 2,1095,45, 1, 1, 3
.i, 5, 2,1096,52, 2, 1, 1
 1, 5, 2,1097,65, 2, 1, 3
 1, 0, 2,1098,.i, 2, 1, 4
 2, 6, 2,1099,45, 1, 1, 1
.i, 0, 2,1100,68, 1, 1, 1
 1, 1, 2,1102,41, 2, 1, 4
 2, 1, 2,1103,.i, 1, 2, 4
.i, 3, 2,1104,33, 1, 1, 3
.i, 3, 2,1105,43, 2, 1, 2
.i, 5, 2,1106,72, 1, 1, 1
.i, 1, 2,1107,89, 2, 1, 1
.i, 3, 2,1108,59, 2, 1, 1
 1, 5, 2,1109,29, 1, 1, 0
 2, 5, 2,1110,64, 1, 1, 4
 3, 4, 2,1111,44, 2, 1, 1
 2, 4, 2,1112,42, 1, 1, 1
 2, 3, 2,1113,41, 1, 1, 1
.i, 0, 2,1115,76, 2, 1, 4
.i, 5, 2,1117,59, 2, 1, 1
 2, 6, 2,1118,65, 1, 1, 4
 1, 1, 2,1119,81, 1, 1, 4
 1, 0, 2,1120,52, 1, 1, 3
 2, 1, 2,1121,34, 1, 1, 3
 1, 0, 2,1122,19, 2, 1, 0
.i, 1, 2,1123,41, 2, 1, 3
 1, 0, 2,1124,59, 1, 1, 1
 2, 6, 2,1125,.i, 2, 1,.s
 1, 0, 2,1127,66, 2, 1, 4
.i, 7, 2,1128,29, 1, 1, 3
.i, 0, 2,1129,68, 1, 1, 4
 1, 3, 2,1130,30, 1, 1, 4
.i, 5, 2,1131,61, 2, 1, 3
 1,.n, 2,1132,.n,.s, 3, 3
 1, 5, 2,1133,72, 1, 1, 1
.i, 2, 2,1134,77, 1, 1, 3
.i, 0, 2,1135,69, 2, 1, 4
 1, 1, 2,1136,41, 2, 1, 4
 1, 5, 2,1137,79, 1, 1, 3
.i, 2, 2,1138,33, 1, 1, 3
 2, 0, 2,1139,54, 2, 1, 4
.i, 3, 2,1140,62, 2, 1, 3
 1, 3, 2,1141,37, 2, 1, 4
 1, 0, 2,1142,64, 1, 1, 1
 1, 1, 2,1143,56, 1, 1, 4
 1, 0, 2,1144,86, 2, 1, 4
 1, 0, 2,1145,24, 1, 1, 3
 2, 2, 2,1146,38, 1, 3, 3
 1, 6, 2,1147,31, 2, 1, 3
 2,.n, 5,1148,55, 2, 3, 3
 1, 4, 5,1149,.i, 1, 3, 1
.i, 3, 5,1150,46, 2, 1, 0
.i, 2, 5,1151,53, 2, 1, 4
 1, 1, 5,1152,56, 2, 1, 1
 1, 0, 5,1153,62, 2, 1, 1
.i, 0, 5,1154,44, 1, 3, 4
 2, 3, 5,1155,.n, 2, 1, 3
 1, 0, 5,1156,42, 1, 1, 4
 2, 1, 5,1157,37, 2, 3, 1
 2, 2, 5,1158,39, 2, 1, 3
 1, 3, 5,1159,69, 1, 1, 3
.i, 0, 5,1160,.n,.n, 3, 0
 2, 3, 5,1161,.i, 2, 3, 1
.i, 1, 5,1162,40, 1, 2, 3
.s, 5, 5,1163,85, 2, 1, 4
 2, 3, 5,1164,39, 2,.i, 3
.i, 0, 5,1165,48, 2, 1, 4
 1, 3, 5,1166,61, 2, 1, 3
.i, 2, 5,1168,42, 2, 2, 3
 1, 6, 5,1169,78, 2, 1, 1
 1, 0, 5,1171,62, 2, 1, 4
.i, 2, 5,1172,39, 2,.i, 1
 2, 3, 5,1173,84, 2, 1, 3
 2, 0, 5,1174,46, 2, 3, 4
.i, 4, 5,1175,42, 2, 1, 2
 2, 4, 5,1176,58, 1, 1, 4
.i, 5, 5,1177,66, 1, 3, 4
 1, 6, 5,1178,86, 1, 1, 1
.i, 1, 5,1179,20, 2, 2, 1
.i, 6, 5,1181,48, 1, 1, 2
 3, 4, 5,1182,65, 1, 2, 1
.i, 6, 5,1183,59, 2, 1, 1
 1, 5, 5,1185,34, 2, 1, 2
 2, 0, 5,1186,37, 2, 2, 3
.i, 3, 5,1187,68, 1, 1, 1
.i, 0, 5,1188,89, 1, 1, 1
 3, 1, 5,1190,54, 1, 3, 3
.i, 1, 5,1191,21, 1, 3, 1
 2, 1, 5,1192,59, 2, 1, 1
 1, 2, 5,1193,.i, 2, 1, 3
 1, 2, 5,1194,62, 1, 1, 3
.i, 2, 5,1195,25, 1, 1, 3
 1, 2, 5,1196,.i, 2, 1, 4
.i, 3, 5,1197,.i, 2, 1, 3
 1, 1, 5,1198,61, 1, 1, 4
 2, 3, 5,1199,40, 1, 3, 4
 3, 7, 5,1200,52, 2, 1, 3
.i, 3, 5,1201,59, 2, 1, 4
 2, 1, 5,1202,32, 1, 1, 3
 1, 3, 5,1203,50, 1, 1, 1
 1, 0, 5,1204,58, 2, 1, 4
 1, 6, 5,1205,58, 1, 1, 1
.i, 0, 5,1206,25, 2, 1, 4
.i, 6, 5,1207,84, 1, 1, 4
 1, 5, 5,1208,65, 2, 1, 4
 1, 0, 5,1209,47, 2, 1, 4
 2, 0, 5,1210,38, 1, 2, 3
 2, 1, 5,1211,54, 2, 2, 3
.i, 0, 5,1212,33, 1, 2, 1
 1, 6, 5,1213,76, 1, 1, 4
.i, 1, 5,1214,51, 2, 2, 1
 2, 3, 5,1215,31, 1, 1, 3
 1, 1, 5,1216,29, 2, 1, 3
 1, 6, 5,1217,64, 2, 1, 3
 1, 0, 5,1218,37, 2, 2, 1
 2, 0, 5,1219,30, 1, 1, 1
 2, 1, 5,1220,34, 2, 1, 3
.i, 3, 5,1222,74, 1, 1, 1
 1, 0, 5,1223,28, 2, 1, 4
.i, 7, 5,1224,32, 1, 1, 4
 3, 7, 5,1225,61, 1, 1, 1
.i, 3, 5,1228,44, 2, 1, 1
 2, 2, 5,1229,63, 2, 1, 2
.i, 2, 5,1230,48, 2, 1, 3
 1, 4, 5,1231,72, 2, 1, 1
 2, 1, 5,1232,43, 1, 2, 1
 2, 4, 5,1233,69, 2, 1, 1
.i, 1, 5,1235,79, 2, 1, 1
 1, 0, 5,1236,39, 2, 1, 1
 2, 6, 5,1237,69, 2, 1, 2
.i, 5, 5,1238,65, 2, 1, 1
 2, 3, 5,1239,64, 2, 1, 1
 2, 0, 5,1241,48, 2, 2, 3
 2, 5, 5,1243,.n, 2, 1, 4
 2, 5, 5,1244,75, 2, 1, 1
 2, 5, 5,1245,27, 1, 1, 1
 2, 3, 5,1246,67, 1, 1, 1
 1, 0, 5,1247,62, 2, 2, 1
.i, 1, 5,1248,35, 1, 1, 0
 1, 4, 5,1249,46, 1, 1, 4
 1, 2, 5,1250,33, 1, 3, 3
 2, 0, 5,1251,.i, 2, 2, 1
.i, 5, 5,1252,50, 2, 1, 2
 2, 2, 5,1253,49, 2, 2, 4
 1, 2, 5,1254,39, 2, 1, 0
 1, 5, 5,1255,33, 2, 1, 3
 3, 3, 5,1256,46, 1, 2, 1
 1, 0, 5,1257,85, 1, 1, 2
.i, 3, 5,1258,62, 2, 2, 1
.i, 0, 5,1259,28, 2, 1, 4
.i, 1, 5,1260,30, 1,.i, 4
.i, 1, 5,1261,23, 1, 3, 1
 2, 1, 5,1263,76, 2, 1, 3
 2, 4, 5,1264,80, 2, 1, 1
.i, 6, 5,1265,73, 1, 1, 4
.i, 0, 5,1266,64, 2, 1, 4
 1, 2, 5,1267,69, 1, 1, 3
.i, 2, 5,1268,.i, 1, 2, 4
 1, 0, 5,1269,49, 1, 1, 4
 1, 4, 5,1270,.i, 1, 1, 4
 2, 0, 5,1271,64, 1, 2, 1
.i, 1, 5,1272,48, 1, 1, 4
.i, 1, 5,1273,28, 2, 3, 4
 2, 1, 5,1274,39, 2, 2, 1
.i, 0, 5,1275,26, 2,.i, 1
 2, 1, 5,1276,49, 2, 1, 3
.i, 2, 5,1277,35, 2, 2, 1
 1, 1, 5,1278,82, 1, 1, 3
 1, 4, 5,1279,52, 1, 1, 4
.i, 2, 5,1280,59, 2, 2, 1
.i, 3, 5,1281,37, 2, 2, 4
 1, 1, 5,1282,29, 2, 1, 3
 1, 6, 5,1283,68, 1, 1, 3
 1, 0, 5,1285,39, 1, 1, 4
 2, 2, 5,1286,41, 1, 3, 3
 1, 0, 5,1287,45, 1, 1, 4
 1, 0, 5,1288,42, 2, 2, 4
.i, 2, 5,1289,40, 2, 2, 4
.i, 6, 5,1290,71, 1, 2, 4
 1, 4, 5,1291,62, 1, 1, 4
 1, 0, 5,1292,59, 2, 3, 4
.i, 4, 5,1294,44, 2, 1, 1
.i, 2, 5,1295,70, 1, 1, 4
.i, 3, 5,1297,37, 1, 1, 3
 2, 2, 5,1298,64, 1, 1, 3
.i, 4, 5,1299,67, 2, 1, 4
 2, 1, 5,1300,43, 2, 1, 2
.i, 2, 5,1303,42, 1, 1, 3
.i, 3, 5,1304,29, 1, 1, 2
 1, 1, 5,1305,75, 1, 1, 1
 1, 0, 5,1306,85, 1, 1, 3
 2, 4, 5,1307,59, 1, 1, 1
.i, 0, 5,1308,53, 1, 2, 1
.i, 6, 5,1310,27, 2, 1, 1
.i, 3, 5,1312,36, 2, 3, 2
 2, 3, 5,1313,30, 2, 2, 4
 2, 4, 5,1314,46, 1, 1, 1
.i, 2, 5,1315,36, 2, 2, 2
.i, 0, 5,1316,84, 2, 1, 1
.i, 0, 5,1317,25, 2, 1, 4
 1, 0, 5,1318,74, 2, 1, 3
.i, 6, 5,1319,51, 1, 1, 2
.i, 6, 5,1320,42, 1, 1, 1
 2, 3, 5,1321,61, 1, 1, 1
.i, 7, 5,1322,39, 1, 1, 1
.i, 3, 5,1323,32, 2, 2, 3
 2, 6, 5,1324,35, 2, 1, 2
.i, 7, 5,1325,57, 2, 1, 1
