conmedic,partyid,region,id,age,sex,race,degree
 1, 3, 1, 153,67, 1, 1, 2
 1, 0, 1, 154,53, 2, 1, 4
 2, 3, 1, 155,60, 2, 1, 4
 1, 3, 1, 156,87, 1, 1, 1
.i, 1, 9, 158,74, 2, 1, 4
.i, 0, 9, 159,66, 2, 1, 1
 1, 0, 9, 160,46, 2, 1, 3
 1, 3, 9, 161,43, 1, 3, 4
 1, 0, 9, 162,.i, 2, 2, 1
 3, 0, 9, 163,49, 1, 2, 1
 1, 1, 9, 164,74, 1, 2, 2
.i, 3, 9, 165,54, 2, 2, 3
.i, 1, 9, 166,53, 1, 1, 4
 1, 0, 9, 167,.i, 2, 1, 3
.i, 6, 9, 168,62, 1, 1, 1
.i, 1, 9, 169,65, 2, 1, 4
 2, 3, 9, 170,41, 2, 1, 4
 2, 2, 9, 171,46, 1, 1, 2
.i, 0, 7, 172,64, 2, 1, 3
 1, 0, 7, 173,79, 2, 1, 4
.i, 3, 7, 174,33, 2, 2, 3
 1, 0, 7, 175,74, 1, 3, 1
.i, 1, 7, 176,75, 2, 1, 3
 1, 0, 7, 177,74, 1, 2, 3
 2, 3, 7, 179,65, 1, 1, 1
.i, 1, 7, 181,41, 2, 2, 3
.i, 2, 7, 182,.i, 2, 1, 4
 2, 3, 7, 183,57, 1, 1, 3
.i, 3, 7, 184,35, 2, 1, 1
 2, 3, 7, 185,36, 2, 3, 1
 1, 1, 7, 187,43, 2, 2, 1
 2, 2, 7, 188,.i, 2, 1, 0
.i, 6, 7, 189,44, 2, 1, 1
 3, 5, 7, 190,67, 2, 1, 0
.i, 6, 5, 192,45, 1, 1, 1
.i, 5, 2, 194,.i, 2, 1, 1
 1, 6, 2, 195,36, 2, 3, 4
 1, 0, 2, 196,40, 2, 1, 3
 2, 3, 2, 198,33, 1, 1, 1
 1, 7, 2, 199,57, 1, 1, 1
 1, 3, 2, 201,32, 2, 3, 3
 1, 2, 2, 202,69, 1, 1, 1
 1, 0, 2, 203,67, 1, 3, 4
 2, 1, 2, 205,28, 1, 1, 1
 2, 0, 2, 206,41, 2, 2, 1
 3, 5, 2, 207,45, 2, 3, 1
 2,.n, 2, 208,.i,.i, 3, 4
.i, 4, 2, 209,.n, 1, 1, 3
 2, 3, 2, 210,64, 2, 1, 1
.i, 4, 2, 211,41, 1, 1, 1
 1, 0, 7, 213,52, 1, 2, 1
 2, 3, 7, 214,58, 2, 2, 1
 3, 3, 7, 215,.i, 2, 2, 3
.i, 0, 7, 216,79, 2, 2, 0
 2, 0, 7, 217,.n, 1, 3, 1
 3, 0, 7, 218,85, 2, 1, 1
.i, 3, 7, 219,.i, 1, 3,.d
 2, 6, 7, 220,53, 2, 1, 1
 1, 1, 7, 221,59, 2, 1, 1
 2, 1, 5, 222,39, 1, 2, 1
 2, 5, 5, 223,50, 2, 1, 1
.i, 0, 5, 224,37, 2, 3, 3
 2, 2, 5, 225,35, 1, 3, 0
.i, 2, 5, 226,42, 2, 3, 2
 2, 0, 5, 227,57, 2, 2, 1
 2, 2, 5, 229,28, 2, 3, 1
.i, 0, 5, 230,37, 2, 1, 1
.i, 6, 5, 231,72, 2, 1, 4
 2, 3, 5, 232,34, 2, 3, 1
 2, 2, 5, 233,63, 2, 1, 4
 1, 2, 5, 234,51, 2, 2, 1
 2, 4, 5, 235,33, 1, 1, 1
.i, 1, 5, 236,70, 2, 1, 4
 2, 6, 5, 237,59, 1, 1, 1
 2, 6, 5, 238,44, 2, 1, 1
.i, 0, 5, 239,78, 2, 2, 4
 2, 3, 5, 240,.i, 2, 3, 1
 1, 0, 5, 241,46, 2, 2, 4
.i, 2, 5, 242,37, 1, 1, 3
.i, 1, 5, 243,49, 2, 1, 1
 3, 2, 5, 244,30,.i, 1, 3
.i, 3, 5, 245,50, 1, 2,.d
 1, 2, 5, 246,67, 1, 1, 1
 2, 3, 5, 247,42, 2, 2, 1
.i, 3, 5, 248,20, 2, 1, 0
.i, 1, 5, 250,65, 2, 1,.s
.i, 2, 5, 253,36, 2, 3, 3
.i, 0, 5, 254,.i, 1, 1, 3
 2, 5, 3, 255,60, 1, 1, 3
.i, 6, 3, 256,47, 1, 1, 4
 2, 0, 3, 257,29, 2, 1, 3
.i, 0, 3, 258,60, 2, 3, 2
 2, 0, 3, 259,35, 1, 3, 4
.i, 2, 3, 260,43, 2, 1, 2
.i, 5, 3, 261,64, 2, 1, 1
 1, 1, 3, 262,34, 2, 1, 4
 1, 3, 3, 263,39, 1, 1, 1
 2, 4, 3, 264,68, 1, 3, 1
.i, 1, 3, 265,32, 2, 1, 3
.i, 3, 3, 266,29, 2, 3, 1
 1, 0, 3, 267,45, 2, 1, 1
 1, 1, 3, 268,42, 2, 1, 4
 1, 0, 9, 269,74, 2, 1, 3
 2, 3, 9, 270,.n,.n, 1, 1
 2, 3, 9, 271,32, 1, 1, 3
.i, 2, 9, 272,38, 1, 1, 3
.i, 0, 9, 273,60, 2, 1, 2
 2, 0, 9, 274,.i, 1, 1, 2
 2, 0, 9, 275,52, 2, 1, 1
 2, 1, 9, 276,67, 1, 1, 1
 1, 0, 9, 277,57, 1, 1, 3
 1, 0, 9, 278,.i, 1, 3, 4
.i, 1, 9, 279,38, 2, 1, 4
.i, 2, 9, 280,67, 2, 3,.d
 2, 0, 9, 281,37, 1, 3, 4
 1, 4, 9, 282,58, 1,.i, 4
.i, 3, 9, 284,.i, 1, 3, 3
 3, 3, 9, 285,33, 1, 1, 4
.i, 0, 9, 286,72, 1, 2, 1
 2, 3, 9, 287,36, 1, 1, 1
.i, 0, 9, 288,30, 2, 1, 4
 3, 3, 9, 289,.i, 2, 1, 1
.i, 5, 8, 291,46, 1, 3, 1
 2, 3, 8, 292,33, 2, 1, 3
 1, 1, 8, 293,34, 2, 1, 1
.i, 5, 8, 294,52, 1, 1, 3
.i, 3, 8, 296,39, 1, 1, 1
 2, 2, 8, 297,78, 2, 1, 3
.i, 1, 8, 298,27, 2, 1, 2
 1, 2, 8, 299,53, 2, 1, 2
 2, 6, 8, 300,61, 2, 1, 1
 2, 2, 8, 301,37, 1, 1, 1
 2, 3, 8, 302,48, 2, 3, 1
.i, 0, 4, 303,25, 1, 1, 3
 2, 1, 4, 304,32, 2, 1, 4
 1, 3, 4, 305,33, 1, 1, 4
 1, 6, 4, 306,69, 1, 1, 4
 1, 0, 4, 307,57, 2, 1, 1
 1, 3, 3, 308,69, 1, 1, 1
.i, 6, 3, 309,60, 1, 1, 2
 1, 0, 3, 310,.i, 1, 1, 3
.i, 1, 3, 312,61, 1, 1, 3
.i, 6, 3, 313,61, 1, 1, 1
.i, 5, 3, 314,65, 2, 1, 1
 2, 0, 3, 315,37, 2, 1, 3
 1, 2, 9, 316,65, 1, 3, 1
 1, 0, 9, 317,63, 1, 1, 1
 2, 5, 9, 318,34, 2, 1, 1
.i, 1, 9, 320,65, 1, 1, 3
 2, 2, 9, 321,.i, 2, 1, 3
 1, 3, 8, 322,29, 2,.i, 3
 1, 0, 8, 323,67, 2, 1, 3
.i, 3, 8, 324,29, 2, 1, 3
 2, 1, 8, 325,.n,.n, 3, 0
 1, 0, 8, 326,69, 1, 1, 3
 1, 4, 8, 327,44, 2, 1, 3
.i, 0, 8, 328,35, 1, 1, 3
 3, 0, 8, 329,57, 1, 1, 3
 3, 3, 8, 330,.i, 2, 3, 4
 2, 0, 8, 331,60, 2, 1, 4
 2, 2, 8, 332,66, 1, 1, 1
 1, 1, 3, 333,32, 1, 1, 1
 1, 6, 3, 334,72, 1, 1, 3
.i, 0, 3, 335,.i, 2, 2, 2
.i, 0, 3, 336,24, 1, 1, 3
.i, 3, 3, 337,57, 2, 1, 1
 1, 1, 3, 338,76, 1, 1, 1
.i, 5, 3, 339,52, 2, 1, 1
 2, 1, 4, 340,64, 2, 2, 4
.i, 1, 4, 341,36, 2, 2, 1
 1, 7, 4, 342,42, 1, 1, 2
.i, 0, 4, 343,39, 2, 1, 1
 1, 2, 4, 344,66, 1, 1, 3
 2, 1, 4, 345,44, 2, 3, 4
.i, 3, 4, 346,63, 2, 1, 1
.i, 3, 5, 348,59, 2, 1, 1
 1, 0, 5, 349,70, 2, 1, 4
.i, 6, 5, 350,59, 2, 1, 1
 1, 0, 5, 351,66, 1, 1, 1
 2, 3, 5, 352,74, 2, 1, 4
 1, 5, 5, 353,80, 1, 1, 4
.i, 4, 5, 354,75, 1, 1, 4
.i, 5, 5, 356,49, 1, 1, 3
 1, 0, 5, 357,42, 1, 1, 4
 2, 3, 5, 358,60, 2, 2, 1
.i, 4, 5, 359,37, 2, 1, 1
 3, 3, 5, 360,37, 1, 1, 1
.i, 3, 5, 361,27, 1, 1, 1
 1, 0, 5, 362,67, 2, 1, 3
 2, 4, 5, 363,73, 2, 1, 1
 2, 3, 5, 364,22, 2, 1, 1
 2, 1, 5, 365,.i, 2, 3, 1
 2, 6, 5, 366,47, 1, 1, 1
 2, 5, 5, 367,59, 2, 1, 4
.i, 6, 9, 368,48, 2, 1, 1
.i, 3, 9, 369,30, 2, 1, 3
 2, 2, 9, 370,65, 2, 1, 2
 1, 1, 9, 371,32, 2, 1, 1
 1, 0, 9, 372,67, 2, 1, 3
.i, 5, 9, 373,34, 1, 1, 1
 2, 6, 9, 374,.n, 2, 3, 3
.i, 4, 9, 375,69, 1, 3, 3
 1,.n, 9, 376,.n,.n, 2, 0
 3, 3, 9, 377,45, 1, 3, 1
 1, 5, 9, 378,41, 1, 1, 3
.i, 5, 2, 379,51, 1, 1, 4
 2, 0, 2, 380,39, 1, 1, 3
 2, 3, 2, 381,89, 1, 1, 1
.i, 1, 2, 383,70, 2, 1, 3
 1, 5, 2, 384,60, 1, 1, 1
 1, 0, 5, 385,79, 1, 2, 4
 1, 0, 5, 386,53, 1, 1, 2
.i, 1, 5, 387,.i, 1, 1, 1
 1, 6, 5, 388,64, 2, 1, 2
.i, 2, 5, 389,49, 2, 3, 4
 2, 6, 5, 390,55, 2, 1, 2
.i, 1, 6, 391,42, 2, 1, 4
 2, 3, 6, 392,62, 1, 1, 1
 1, 2, 6, 393,56, 2, 1, 1
.i, 0, 6, 395,44, 2, 1, 1
